2013-2014 PSAE DATA ARE FINAL - INCLUDES ENGLISH LANGUAGE LEARNER STUDENTS,,,,,,,ACT Means,,,,,ACT Total Tested,,,,
School Name,School ID,Network,Category,Category Breakdown,Grade,Year,Read,Math,Science,English,Composite,Read,Math,Science,English,Composite,-1.4280709792063269
CHICAGO VOCATIONAL HS,609674,OS4,Overall,Overall,11th Grade,2001,14.3,15.4,14.6,13.8,14.5,369,369,368,370,368,13.071929020793673
CHICAGO VOCATIONAL HS,609674,OS4,Overall,Overall,11th Grade,2002,14.6,14.9,14.9,13.6,14.5,386,387,386,387,386,13.071929020793673
CHICAGO VOCATIONAL HS,609674,OS4,Overall,Overall,11th Grade,2003,15.1,15.1,15.3,13.5,14.8,324,324,324,324,324,13.371929020793674
CHICAGO VOCATIONAL HS,609674,OS4,Overall,Overall,11th Grade,2004,15.1,15.0,16.0,13.9,15.0,334,335,334,335,334,13.571929020793673
CHICAGO VOCATIONAL HS,609674,OS4,Overall,Overall,11th Grade,2005,15.4,15.4,15.9,14.2,15.2,345,345,345,345,345,13.771929020793673
CHICAGO VOCATIONAL HS,609674,OS4,Overall,Overall,11th Grade,2006,14.6,14.9,15.1,14.2,14.7,407,407,407,407,407,13.271929020793673
CHICAGO VOCATIONAL HS,609674,OS4,Overall,Overall,11th Grade,2007,14.2,15.1,15.5,13.7,14.6,357,358,357,358,357,13.171929020793673
CHICAGO VOCATIONAL HS,609674,OS4,Overall,Overall,11th Grade,2008,14.4,15.2,15.9,13.9,14.9,329,329,328,330,328,13.471929020793674
CHICAGO VOCATIONAL HS,609674,OS4,Overall,Overall,11th Grade,2009,14.1,14.6,15.3,12.5,14.1,380,380,380,380,380,12.671929020793673
CHICAGO VOCATIONAL HS,609674,OS4,Overall,Overall,11th Grade,2010,15.1,15.3,15.8,13.9,15.0,219,219,219,219,219,13.571929020793673
CHICAGO VOCATIONAL HS,609674,OS4,Overall,Overall,11th Grade,2011,14.4,14.7,15.2,12.9,14.3,189,189,189,189,189,12.871929020793674
CHICAGO VOCATIONAL HS,609674,OS4,Overall,Overall,11th Grade,2012,14.3,15.2,15.7,13.7,14.7,194,194,194,194,194,13.271929020793673
CHICAGO VOCATIONAL HS,609674,OS4,Overall,Overall,11th Grade,2013,14.9,15.3,15.1,13.5,14.7,169,169,169,169,169,13.271929020793673
